$$OperatingHoursId$DayOfWeek,DayOfWeek,EndTime,Id,OperatingHours.$$Name$Description$AWS_Business_Hour_External_ID__c,OperatingHoursId,StartTime,Type,WorkTypeGroup.Name
0OH9r0000003ZFlGAM;Monday,Monday,18:00:00.000Z,0Gj9r0000003T0fCAE,Future Student & Public Call Operating Hours;Operating Hours to support phone calls for Future Student & Public;71249416-f876-4d3f-8cbf-861ec4c609c3,0OH9r0000003ZFlGAM,08:00:00.000Z,Normal,
0OH9r0000003ZFlGAM;Tuesday,Tuesday,18:00:00.000Z,0Gj9r0000003T0gCAE,Future Student & Public Call Operating Hours;Operating Hours to support phone calls for Future Student & Public;71249416-f876-4d3f-8cbf-861ec4c609c3,0OH9r0000003ZFlGAM,08:00:00.000Z,Normal,
0OH9r0000003ZFlGAM;Wednesday,Wednesday,18:00:00.000Z,0Gj9r0000003T0hCAE,Future Student & Public Call Operating Hours;Operating Hours to support phone calls for Future Student & Public;71249416-f876-4d3f-8cbf-861ec4c609c3,0OH9r0000003ZFlGAM,08:00:00.000Z,Normal,
0OH9r0000003ZFlGAM;Thursday,Thursday,18:00:00.000Z,0Gj9r0000003T0iCAE,Future Student & Public Call Operating Hours;Operating Hours to support phone calls for Future Student & Public;71249416-f876-4d3f-8cbf-861ec4c609c3,0OH9r0000003ZFlGAM,08:00:00.000Z,Normal,
0OH9r0000003ZFlGAM;Friday,Friday,18:00:00.000Z,0Gj9r0000003T0jCAE,Future Student & Public Call Operating Hours;Operating Hours to support phone calls for Future Student & Public;71249416-f876-4d3f-8cbf-861ec4c609c3,0OH9r0000003ZFlGAM,08:00:00.000Z,Normal,
0OH9r0000003ZIzGAM;Monday,Monday,18:00:00.000Z,0Gj9r0000003T3tCAE,International Future Student Call Operating Hours;Operating Hours to support phone calls for International Future Student;f832fe3c-6dd5-4b36-9f7a-dfce91f953ac,0OH9r0000003ZIzGAM,08:00:00.000Z,Normal,
0OH9r0000003ZIzGAM;Tuesday,Tuesday,18:00:00.000Z,0Gj9r0000003T3uCAE,International Future Student Call Operating Hours;Operating Hours to support phone calls for International Future Student;f832fe3c-6dd5-4b36-9f7a-dfce91f953ac,0OH9r0000003ZIzGAM,08:00:00.000Z,Normal,
0OH9r0000003ZIzGAM;Wednesday,Wednesday,18:00:00.000Z,0Gj9r0000003T3vCAE,International Future Student Call Operating Hours;Operating Hours to support phone calls for International Future Student;f832fe3c-6dd5-4b36-9f7a-dfce91f953ac,0OH9r0000003ZIzGAM,08:00:00.000Z,Normal,
0OH9r0000003ZIzGAM;Thursday,Thursday,18:00:00.000Z,0Gj9r0000003T3wCAE,International Future Student Call Operating Hours;Operating Hours to support phone calls for International Future Student;f832fe3c-6dd5-4b36-9f7a-dfce91f953ac,0OH9r0000003ZIzGAM,08:00:00.000Z,Normal,
0OH9r0000003ZIzGAM;Friday,Friday,18:00:00.000Z,0Gj9r0000003T3xCAE,International Future Student Call Operating Hours;Operating Hours to support phone calls for International Future Student;f832fe3c-6dd5-4b36-9f7a-dfce91f953ac,0OH9r0000003ZIzGAM,08:00:00.000Z,Normal,
0OH9r0000003ZKbGAM;Monday,Monday,18:00:00.000Z,0Gj9r0000003T5VCAU,Current Student Call Operating Hours;Operating Hours to support phone calls for Current Student;0aba9384-96a5-437a-b035-88a63c8efea6,0OH9r0000003ZKbGAM,08:00:00.000Z,Normal,
0OH9r0000003ZKbGAM;Tuesday,Tuesday,18:00:00.000Z,0Gj9r0000003T5WCAU,Current Student Call Operating Hours;Operating Hours to support phone calls for Current Student;0aba9384-96a5-437a-b035-88a63c8efea6,0OH9r0000003ZKbGAM,08:00:00.000Z,Normal,
0OH9r0000003ZKbGAM;Wednesday,Wednesday,18:00:00.000Z,0Gj9r0000003T5XCAU,Current Student Call Operating Hours;Operating Hours to support phone calls for Current Student;0aba9384-96a5-437a-b035-88a63c8efea6,0OH9r0000003ZKbGAM,08:00:00.000Z,Normal,
0OH9r0000003ZKbGAM;Thursday,Thursday,18:00:00.000Z,0Gj9r0000003T5YCAU,Current Student Call Operating Hours;Operating Hours to support phone calls for Current Student;0aba9384-96a5-437a-b035-88a63c8efea6,0OH9r0000003ZKbGAM,08:00:00.000Z,Normal,
0OH9r0000003ZKbGAM;Friday,Friday,18:00:00.000Z,0Gj9r0000003T5ZCAU,Current Student Call Operating Hours;Operating Hours to support phone calls for Current Student;0aba9384-96a5-437a-b035-88a63c8efea6,0OH9r0000003ZKbGAM,08:00:00.000Z,Normal,
0OH9r0000003ZNpGAM;Monday,Monday,18:00:00.000Z,0Gj9r0000003T8jCAE,Staff Call Operating Hours;Operating Hours to support phone calls for Staff Call;9ab1ceba-85d2-4fd2-a9d9-b614c7eeabb6,0OH9r0000003ZNpGAM,08:00:00.000Z,Normal,
0OH9r0000003ZNpGAM;Tuesday,Tuesday,18:00:00.000Z,0Gj9r0000003T8kCAE,Staff Call Operating Hours;Operating Hours to support phone calls for Staff Call;9ab1ceba-85d2-4fd2-a9d9-b614c7eeabb6,0OH9r0000003ZNpGAM,08:00:00.000Z,Normal,
0OH9r0000003ZNpGAM;Wednesday,Wednesday,18:00:00.000Z,0Gj9r0000003T8lCAE,Staff Call Operating Hours;Operating Hours to support phone calls for Staff Call;9ab1ceba-85d2-4fd2-a9d9-b614c7eeabb6,0OH9r0000003ZNpGAM,08:00:00.000Z,Normal,
0OH9r0000003ZNpGAM;Thursday,Thursday,18:00:00.000Z,0Gj9r0000003T8mCAE,Staff Call Operating Hours;Operating Hours to support phone calls for Staff Call;9ab1ceba-85d2-4fd2-a9d9-b614c7eeabb6,0OH9r0000003ZNpGAM,08:00:00.000Z,Normal,
0OH9r0000003ZNpGAM;Friday,Friday,18:00:00.000Z,0Gj9r0000003T8nCAE,Staff Call Operating Hours;Operating Hours to support phone calls for Staff Call;9ab1ceba-85d2-4fd2-a9d9-b614c7eeabb6,0OH9r0000003ZNpGAM,08:00:00.000Z,Normal,